N;Algoritmo;0.005;0.005;0.005;0.005;0.010;0.010;0.010;0.010;0.050;0.050;0.050;0.050;0.100;0.100;0.100;0.100
N;Algoritmo;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao
32;IEENNS;25.0878;21.1;0.810572;211.426;24.4825;24.4;0.962405;231.613;20.7358;13.7;0.701194;412.368;19.1519;8.6;0.588465;663.844
64;IEENNS;25.8569;24;2.36674;169.684;24.6011;24.2;2.64631;191.369;21.0985;15.4;2.60146;352.159;19.1273;10.8;2.27212;574.656
128;IEENNS;26.1398;18.6;5.61914;139.406;24.6915;18.4;6.25941;161.165;20.9758;15.5;8.34097;306.728;19.139;12.3;9.3621;500.385
256;IEENNS;26.5026;16.6;16.3551;114.259;24.9783;16.8;19.6884;137.862;20.7714;17.9;33.4895;264.435;19.1569;11.8;30.2661;446.427
