N;Algoritmo;0.005;0.005;0.005;0.005;0.010;0.010;0.010;0.010;0.050;0.050;0.050;0.050;0.100;0.100;0.100;0.100
N;Algoritmo;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao
32;IEENNS;24.9258;17.1;0.739513;263.961;24.0454;13.6;0.628084;339.293;20.9494;6.8;0.584965;1032.61;18.1113;4;0.626159;2010.91
64;IEENNS;25.4807;17;2.12676;221.612;24.4382;17.8;2.62746;292.735;21.0767;7.4;2.21986;924.11;18.5945;4.4;2.50731;1970.99
128;IEENNS;26.1042;20.3;7.3683;185.568;24.9407;17.8;7.76609;250.72;21.496;7.4;8.11048;849.998;18.9825;4.8;11.7846;1933.15
256;IEENNS;26.573;17.4;22.3798;162.165;25.3301;17.9;26.7278;216.334;21.4912;6.9;28.5827;772.742;19.331;4.6;45.1205;1896.99
