N;Algoritmo;0.005;0.005;0.005;0.005;0.010;0.010;0.010;0.010;0.050;0.050;0.050;0.050;0.100;0.100;0.100;0.100
N;Algoritmo;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao
32;IEENNS;25.340312;27.000000;1.045029;222.459880;24.107288;17.100000;0.796711;263.961481;20.994962;8.600000;0.583427;577.509549;19.438954;6.800000;0.593993;1032.606244
64;IEENNS;25.679863;24.100000;2.476005;184.253385;24.462072;17.000000;2.159910;221.611730;21.276546;11.500000;2.271425;498.166100;19.484868;7.400000;2.236341;924.110300
128;IEENNS;26.127999;19.700000;6.308944;154.096140;24.878019;20.300000;7.189776;185.567543;21.086980;12.900000;8.063778;431.273631;19.774628;7.400000;8.127718;849.998100
256;IEENNS;26.526706;15.600000;15.327846;130.486436;25.195332;17.400000;19.833452;162.165307;21.187601;12.700000;26.233125;380.585206;19.717278;6.900000;26.107892;772.741569
