N;Algoritmo;0.005;0.005;0.005;0.005;0.010;0.010;0.010;0.010;0.050;0.050;0.050;0.050;0.100;0.100;0.100;0.100
N;Algoritmo;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao
32;IEENNS;25.1332;21.3;0.890627;246.05;24.0422;18;0.85399;298.737;21.044;7.6;0.646962;793.084;19.2451;5.1;0.704102;1512.43
64;IEENNS;25.6017;20.4;2.62833;203.238;24.4355;16.1;2.30956;254.114;21.2309;8.5;2.37852;703.401;19.5566;5.7;2.61014;1425.43
128;IEENNS;26.0713;18.5;6.80543;171.082;24.9925;18.5;7.73905;217.174;21.4886;10.3;9.20407;623.945;19.8816;5.5;9.79166;1363.27
256;IEENNS;26.5994;16.9;19.8984;146.963;25.3213;14.9;21.8659;191.767;21.5166;9.1;28.6517;562.611;19.967;5.2;35.7608;1282.05
