N;Algoritmo;0.005;0.005;0.005;0.005;0.010;0.010;0.010;0.010;0.050;0.050;0.050;0.050;0.100;0.100;0.100;0.100
N;Algoritmo;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao;PSNR;Iter;Tempo;Distorcao
32;IEENNS;24.977758;21.200000;0.769875;205.090983;24.533599;27.000000;1.022239;222.459880;20.627744;13.400000;0.633138;374.895529;18.995749;8.600000;0.512050;577.509549
64;IEENNS;25.759025;21.800000;2.029447;166.407522;24.579664;24.100000;2.445175;184.253385;20.897091;16.300000;2.512434;319.678894;19.072613;11.500000;1.965490;498.166100
128;IEENNS;26.125609;20.200000;6.008363;133.651232;24.678826;19.700000;6.257132;154.096140;21.077406;20.300000;9.079429;273.549418;18.866235;12.900000;7.824754;431.273631
256;IEENNS;26.462425;18.700000;16.289416;110.574423;24.854461;15.600000;15.278321;130.486436;20.763321;19.500000;28.345374;241.101512;18.883463;12.700000;25.563435;380.585206
